title,year,openDt,audiCnt,director,genres
어글리 시스터,nan,2025-08-20,31000.0,,"공포, 스릴러"
빨간마스크 KF94,nan,,,김민하,코미디
[극장판] 명탐정 코난: 세기말의 마술사 - 4K 리마스터링,nan,,,코다마 켄지,
바람,nan,2009-11-26,100000.0,임상수,"학원, 성장"
[감독판] 바람,nan,,,이성한,"서사, 드라마"
용감한 시민,nan,2023-10-25,260000.0,박진표,"액션, 느와르"
젠틀맨,nan,2022-12-28,220000.0,가이 리치,"범죄, 느와르"
포풍추영,nan,2025-09-20,24000.0,,
도굴,nan,2020-11-04,1540000.0,박정배,"범죄, 코미디"
[극장판] 명탐정 코난: 척안의 잔상,nan,,,시게하라 카츠야,"애니메이션, 범죄"
극한직업,nan,2019-01-23,16260000.0,이병헌,"의 전복, 코미디의 미학을 창조하다"
감격시대 더 무비,nan,,,김정규,"액션, 시대극"
하트맨,nan,2026-01-14,240000.0,최원섭,"로맨틱 코미디, 가족"
형,nan,2016-11-23,2980000.0,권수경,"코미디, 드라마"
너의 이름은.,nan,2017-01-04,3970000.0,신카이 마코토,"애니송, J-POP"
[극장판] 명탐정 코난: 세기말의 마술사,nan,2026-03-21,,코다마 켄지,
순수의 시대,nan,2015-03-05,470000.0,안상훈,액션
스파이더맨: 노 웨이 홈,nan,2021-12-15,,존 와츠,액션
탑건: 매버릭,nan,2026-05-13,8240000.0,조셉 코신스키,"밀리터리, 항공"
[극장판] 명탐정 코난: 시한장치의 마천루,nan,,,코다마 켄지,"애니메이션, 추리"
트럭,nan,2008-09-25,550000.0,권형진,스릴러
방탄승,nan,2003-09-19,,폴 헌터,판타지 액션 슈퍼히어로
히든 페이스,nan,2024-11-20,1010000.0,안드레스 바이스,스릴러
굿 포츈,nan,2026-01-07,25000.0,아지즈 안사리,"액션, 코미디"
미션 임파서블: 파이널 레코닝,nan,2025-05-15,3390000.0,크리스토퍼 맥쿼리,"첩보, 액션"
파과,nan,2025-04-30,550000.0,민규동,"액션, 드라마"
해리 포터와 마법사의 돌,nan,2001-12-14,,크리스 콜럼버스,"판타지, 가족"
킬러들의 비행,nan,2025-09-03,1426.0,제임스 매디건,"소설 공포, 호러소설"
동화지막 청불입니다 무삭제판,nan,,,이종석,"멜로, 로맨스"
바람,2009.0,2009-04-02,100000.0,이성한,"학원, 성장"
포풍추영,2025.0,2025-09-20,24000.0,,
순수의 시대,2015.0,2015-03-05,470000.0,안상훈,"한국 사극, 드라마"
브릭레이어,2024.0,2025-05-28,1154.0,레니 할린,"스릴러, 액션"
왕의 남자,2005.0,2005-12-29,10510000.0,이준익,"사극, 드라마"
F1 더 무비,2025.0,2025-05-13,5260000.0,조셉 코신스키,"스포츠, 드라마"
발레리나,2017.0,2025-08-06,320000.0,렌 와이즈먼,"액션, 스릴러"
정글쥬스,2002.0,2002-03-22,,조민호,코미디
테인티드 러브,2023.0,2024-09-19,2664.0,마영심,"서사, 드라마"
은교,2012.0,2012-04-25,1340000.0,정지우,"로맨스, 멜로"
